codadesao;cod_ata;cod_uasg;procsei;dataregistro;datasolic;encaminhaoficio;recebrespfornec;enviorespcentral;status
110;90;3769;05110.003831/2018-47;2019/07/18 15:18:29.000000000;2018/10/19 00:00:00.000;2018/10/19 00:00:00.000;2018/11/05 00:00:00.000;2018/11/08 00:00:00.000;1                                                                                                                                                                                                                                                              
111;91;18101;05110.004310/2018-15;2019/07/18 15:18:29.000000000;2018/10/19 00:00:00.000;2018/10/19 00:00:00.000;2019/01/15 00:00:00.000;2019/01/18 00:00:00.000;1                                                                                                                                                                                                                                                              
112;90;2655;05110.004366/2018-61;2019/07/18 15:18:29.000000000;2018/10/19 00:00:00.000;2018/11/08 00:00:00.000;2018/12/11 00:00:00.000;2018/12/12 00:00:00.000;1                                                                                                                                                                                                                                                              
113;90;5252;05110.004357/2018-71;2019/07/18 15:18:29.000000000;2018/10/22 00:00:00.000;2018/10/24 00:00:00.000;2018/11/29 00:00:00.000;2018/11/29 00:00:00.000;0                                                                                                                                                                                                                                                              
114;90;8383;05110.004372/2018-19;2019/07/18 15:18:29.000000000;2018/10/22 00:00:00.000;2018/10/24 00:00:00.000;2018/11/05 00:00:00.000;2018/11/06 00:00:00.000;1                                                                                                                                                                                                                                                              
115;90;6377;05110.004396/2018-78;2019/07/18 15:18:29.000000000;2018/10/22 00:00:00.000;;2018/11/29 00:00:00.000;2018/11/30 00:00:00.000;0                                                                                                                                                                                                                                                              
116;91;18425;05110.004404/2018-86;2019/07/18 15:18:29.000000000;2018/10/22 00:00:00.000;2018/10/26 00:00:00.000;2018/11/13 00:00:00.000;2018/11/16 00:00:00.000;1                                                                                                                                                                                                                                                              
117;90;27166;05110.004406/2018-75;2019/07/18 15:18:29.000000000;2018/10/22 00:00:00.000;2018/10/26 00:00:00.000;2018/11/05 00:00:00.000;2018/11/07 00:00:00.000;1                                                                                                                                                                                                                                                              
118;90;6200;05110.004401/2018-42;2019/07/18 15:18:29.000000000;2018/11/13 00:00:00.000;2018/11/21 00:00:00.000;2019/01/03 00:00:00.000;2019/01/18 00:00:00.000;1                                                                                                                                                                                                                                                              
119;91;6392;05110.004437/2018-26;2019/07/18 15:18:29.000000000;2018/10/29 00:00:00.000;2018/10/30 00:00:00.000;2019/04/22 00:00:00.000;2019/04/22 00:00:00.000;0                                                                                                                                                                                                                                                              
120;90;657;00034.001923/2018-29;2019/07/18 15:18:29.000000000;2018/10/29 00:00:00.000;2018/11/01 00:00:00.000;2018/11/21 00:00:00.000;2018/11/29 00:00:00.000;1                                                                                                                                                                                                                                                              
121;90;1690;05110.004468/2018-87;2019/07/18 15:18:29.000000000;2018/10/30 00:00:00.000;2018/11/01 00:00:00.000;2018/12/11 00:00:00.000;2018/12/13 00:00:00.000;1                                                                                                                                                                                                                                                              
